Verkehrsaufkommen_ID,Anzahl_KFZ,Geschwindigkeit_KFZ,Anzahl_PKW,Geschwindigkeit_PKW,Anzahl_LKW,Geschwindigkeit_LKW,Zeit_ID_FK,Verkehrsdetektor_ID_FK
21,129.1069182389937,45.851572327044025,119.97106918238994,46.9811320754717,9.328301886792453,29.646540880503146,3362,001
22,144.56613756613757,44.84278155706727,135.19727891156464,45.72260015117158,9.356009070294785,29.538926681783824,3530,001
23,126.81895734597157,46.366824644549766,116.54123222748815,47.44644549763033,10.95260663507109,31.345023696682464,3698,001
24,151.9235427706283,45.59348978046934,140.4118092354277,46.57683573050719,12.240726722180167,30.70249810749432,3866,001
25,117.27107279693486,46.70019157088122,107.60536398467433,47.872605363984675,9.945402298850574,30.68199233716475,4034,001
26,125.02576335877863,47.1087786259542,120.70038167938931,48.17843511450382,9.250954198473282,29.268129770992367,4202,001
27,85.52210365853658,45.5297256097561,77.8391768292683,46.605182926829265,10.023628048780488,30.8452743902439,4370,001
28,76.37082936129647,45.54528122020972,70.93994280266921,46.63870352716873,8.354623450905624,29.145853193517635,4538,001
29,90.63705826170009,43.6523400191022,82.01623686723973,45.00859598853868,8.869149952244507,28.59025787965616,4706,001
30,128.2086824067022,44.19192688499619,120.27646610814928,44.97867479055598,7.929169840060929,28.086824067022086,4874,001
31,127.73829990448901,44.809933142311365,118.97994269340974,45.68385864374403,9.117478510028654,28.21680993314231,5042,001
32,133.03795066413662,45.16129032258065,125.05123339658444,46.10436432637571,7.981024667931689,29.26660341555977,5210,001
33,115.67297501892506,44.909159727479185,109.41256623769871,45.91597274791825,9.30885692657078,29.376987130961393,5378,001
34,95.56536697247707,44.21788990825688,88.52064220183486,45.3795871559633,10.80045871559633,30.56651376146789,5546,001
35,74.11406844106465,45.03326996197718,67.02091254752851,46.213878326996195,7.092205323193916,30.36216730038023,5714,001
36,81.07466918714556,46.85633270321361,73.95179584120983,47.96786389413989,7.119092627599244,30.892249527410208,5882,001
37,74.64302325581396,48.604651162790695,71.40232558139535,49.67674418604651,8.476744186046512,30.25,6050,001
38,72.48588235294118,44.53176470588235,65.32352941176471,45.231764705882355,7.154117647058824,30.554117647058824,6218,001
39,100.53571428571429,44.17857142857143,90.10142857142857,44.21142857142857,10.348571428571429,41.52428571428572,6386,001
40,93.54311926605504,43.60917431192661,81.82201834862386,43.533944954128444,11.656880733944954,42.59449541284404,6554,004
41,100.73097345132743,44.30088495575221,89.94159292035398,44.16283185840708,10.745132743362833,42.83185840707964,6722,004
42,147.36695018226,44.95747266099635,135.74362089914945,44.70109356014581,11.594167679222357,42.358444714459296,6890,005
43,144.5360655737705,44.34754098360656,132.65737704918033,44.19016393442623,11.829508196721312,42.32622950819672,7058,005
44,135.97416020671835,44.86821705426357,125.08397932816537,44.68863049095607,10.817829457364342,42.746770025839794,7226,005
45,132.60556464811785,45.07528641571195,120.28150572831424,44.88870703764321,12.27986906710311,43.60065466448445,7394,005
46,134.01661129568106,43.80232558139535,124.22259136212625,43.832225913621265,9.686046511627907,40.9734219269103,7562,005
47,117.48117154811716,46.10599721059972,108.85076708507671,45.98884239888424,8.571827057182706,41.85634588563459,7730,005
48,118.31608133086876,46.7449168207024,109.69500924214418,46.70609981515712,8.600739371534196,43.042513863216264,7898,005
49,127.01603206412825,50.92084168336673,118.24148296593187,52.08416833667334,8.770541082164328,33.32164328657315,4,001
50,141.839,49.801,131.275,50.835,10.564,33.618,172,001
51,139.75438596491227,50.91380625476735,129.23493516399694,52.08695652173913,10.495041952707856,34.27765064836003,340,001
52,139.61290322580646,47.12672811059908,130.72235023041475,48.31797235023041,11.774193548387096,32.09216589861751,508,001
53,167.59304084720122,47.837367624810895,156.86686838124055,48.77836611195159,10.700453857791226,31.81391830559758,676,001
54,182.22857142857143,47.55714285714286,169.60190476190476,48.57809523809524,12.621904761904762,31.834285714285713,844,001
55,174.76126558005754,46.90124640460211,164.02205177372963,47.70565675934804,10.720997123681688,31.841802492809204,1012,001
56,152.11674347158217,46.963901689708145,142.8110599078341,47.7826420890937,9.30184331797235,31.114439324116745,1180,001
