Baustellen_ID,Baustellenart,Baustellentyp,Beginn,Ende,Seite Sperrung,Icon,Beschreibung,Koordinaten
61,Sperrung,,26.01.2024 07:00,01.03.2024 16:00,,sperrung,"gesperrt, Bauarbeiten","GEOMETRYCOLLECTION(POINT(13.303277099998462 52.51061913870284), LINESTRING(13.303277099998462 52.51061913870284, 13.303423199998464 52.50994713870355))"
62,Baustelle,keine Sperrung,25.01.2024 14:47,29.02.2024 17:00,Einseitig,baustelle,"Leitungsarbeiten, rechter Fahrstreifen gesperrt","GEOMETRYCOLLECTION(POINT(13.33088873487068 52.49240865297712), LINESTRING(13.330909983466505 52.49082397644529, 13.330905065362675 52.49087605595544, 13.330903019306028 52.49117903018563, 13.33087407638532 52.49198998671683, 13.330867977861026 52.49253998156209, 13.330847996870935 52.49315703456122))"
63,Bauarbeiten,,25.01.2024 14:42,30.04.2024 23:59,,baustelle,"Tiefbauarbeiten, gesperrt, Baustelle","GEOMETRYCOLLECTION(POINT(13.524857899999 52.42972353878841), LINESTRING(13.524857899999 52.42972353878841, 13.525229999998999 52.4298500387883, 13.526889999999 52.430410038787706, 13.527019999999002 52.43043003878767, 13.527159999998997 52.43044003878768, 13.527242799999003 52.430438038787656))"
64,Baustelle,keine Sperrung,25.01.2024 09:00,28.03.2024 17:00,Einseitig,baustelle,"Kabelarbeiten, Gegenverkehrsregelung mit Baustellenampel","GEOMETRYCOLLECTION(POINT(13.510598538393763 52.44460833483555), LINESTRING(13.508781068601651 52.44546705081007, 13.509759018175421 52.44496895712325, 13.510546058924982 52.44459000999112), LINESTRING(13.51125504144286 52.44499400502337, 13.510813052354708 52.44474900785831, 13.510546058924982 52.44459000999112), LINESTRING(13.509828980418462 52.44378104128134, 13.510000926822693 52.44397894333841, 13.510445081354746 52.44450395239593, 13.510546058924982 52.44459000999112))"
65,Baustelle,keine Sperrung,25.01.2024 07:00,02.05.2024 17:00,Beidseitig,baustelle,"Fahrbahn auf jeweils einen Fahrstreifen verengt und verschwenkt, Abbiegebeschränkungen, Kreuzungszufahrten Drakestraße und Hindenburgdamm auf jeweils einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.309698562959577 52.43127634477029), LINESTRING(13.308086973818773 52.429969058351595, 13.308420034001058 52.430260017390836, 13.309023009251298 52.43077800038819, 13.309363007005084 52.43106096371903, 13.309691097963366 52.431339979456595), LINESTRING(13.313337004090423 52.43539901801879, 13.313251896593385 52.435297011524725, 13.3128159870405 52.43476597027294, 13.312399097424603 52.434287977675865, 13.312012964481658 52.43385996466096, 13.311327995247664 52.43309905063324, 13.310376117944086 52.43205199157387, 13.30983188965328 52.43147407445557, 13.309691097963366 52.431339979456595), LINESTRING(13.307420961585054 52.433307975572106, 13.307468115743433 52.43323294389139, 13.307527989222187 52.433183000168434, 13.308213054151985 52.43256098648006, 13.308556008655058 52.43225605333081, 13.308871015421024 52.43197400690286, 13.309141034574397 52.43174499430781, 13.30946999293747 52.431497942160455, 13.309691097963366 52.431339979456595, 13.309363007005084 52.43106096371903, 13.309023009251298 52.43077800038819, 13.308420034001058 52.430260017390836, 13.308086973818773 52.429969058351595))"
66,Sperrung,Fahrtrichtungssperrung,25.01.2024 07:00,02.05.2024 17:00,Einseitig,sperrung,"Bau einer Ampel an Kreuzung Bornitzstraße, Fahrtrichtung für Kfz-Verkehr gesperrt, Umleitung ausgewiesen, Bornitzstraße von Möllendorffstraße kommend Anbindung Ruschestraße gesperrt","GEOMETRYCOLLECTION(POINT(13.48593116984238 52.52080363589217), LINESTRING(13.485905923668815 52.51893004135796, 13.485922988268209 52.519051008508036, 13.485943095202005 52.51931497108801, 13.485949052857674 52.519578932434484, 13.485955997480447 52.520139968188246, 13.485958043745681 52.520792019777, 13.48592992943758 52.52097094006403, 13.48587908989619 52.52117204699908, 13.485690879639794 52.52203304171906, 13.485464951976857 52.52300899740152, 13.485454045437791 52.523086090249784, 13.485467005439277 52.523184976973766))"
67,Baustelle,keine Sperrung,25.01.2024 07:00,05.07.2024 17:00,Einseitig,baustelle,"Stromnetzarbeiten, Fahrbahn auf einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.297627904476494 52.52543194072497), LINESTRING(13.297627904476494 52.52543194072497, 13.297335056431267 52.526405967850245, 13.297313001942424 52.526534044569196))"
68,Baustelle,keine Sperrung,24.01.2024 10:00,16.02.2024 17:00,Einseitig,baustelle,"Leitungsbauarbeiten, Gegenverkehrsregelung mit Baustellenampel","GEOMETRYCOLLECTION(POINT(13.419945383131088 52.572849793346414), LINESTRING(13.422234069026914 52.57346104783597, 13.421836869832177 52.57322495562178, 13.42175396749962 52.5731829415835, 13.421654881522453 52.57315599638071, 13.421424110249813 52.57310994275389, 13.42064800620828 52.572971021046115, 13.41993595445321 52.57283204999574), LINESTRING(13.417297054168166 52.572366043555654, 13.417378074611811 52.572370003769436, 13.417728950592494 52.57240400430598, 13.418014058301225 52.57244899307407, 13.4183339304154 52.572508021974215, 13.41891495398748 52.57263401421633, 13.419578070390077 52.57276298759687, 13.41993595445321 52.57283204999574))"
69,Bauarbeiten,keine Sperrung,24.01.2024 07:00,02.08.2024 17:00,Beidseitig,baustelle,"Baustelle, Fahrbahn auf jeweils einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.346824367482048 52.50382155031827), LINESTRING(13.345971028723799 52.503991069212205, 13.34621288854014 52.50394203185547, 13.346755107305713 52.50383200570252, 13.347839028369805 52.50359800248141, 13.348009930717039 52.50355902966413), LINESTRING(13.348009930717039 52.50355902966413, 13.347839028369805 52.50359800248141, 13.346755107305713 52.50383200570252, 13.34621288854014 52.50394203185547, 13.345971028723799 52.503991069212205))"
70,Baustelle,keine Sperrung,23.01.2024 07:00,29.02.2024 17:00,Einseitig,baustelle,"Fahrbahnarbeiten, Fahrbahn auf einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.438673803012078 52.50566305409834), LINESTRING(13.438192000233744 52.5059740175397, 13.438387016399403 52.50584298471516, 13.438718005469687 52.505641997392644, 13.439038987166489 52.50547801014463))"
71,Baustelle,keine Sperrung,23.01.2024 07:00,15.02.2024 10:00,Einseitig,baustelle,"in beiden Richtungen kein Linksabbiegen möglich, Richtung Schöneberger Straße Fahrbahn auf einen Fahrstreifen verengt, Gesamtbaumaßnahme bis 08/24","GEOMETRYCOLLECTION(POINT(13.359875368602072 52.47538767607835), LINESTRING(13.357598983484495 52.47646002028356, 13.35819704357039 52.47617305298328, 13.358428043821451 52.47607897465884, 13.359723028677559 52.47545506022554, 13.359874022620831 52.47538198785395), LINESTRING(13.361656896168299 52.474651977550806, 13.36133796563606 52.47476696223413, 13.360975957533336 52.474896004748466, 13.360687902697736 52.47502400319491, 13.360312080922093 52.47517200344735, 13.36003498989446 52.47530204045644, 13.359874022620831 52.47538198785395))"
72,Baustelle,keine Sperrung,23.01.2024 06:00,20.02.2024 17:00,Einseitig,baustelle,"Tiefbauarbeiten, Fahrbahn auf zwei Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.511411295020183 52.53499202373845), LINESTRING(13.505604959347158 52.53463804557299, 13.50578502059906 52.53463699240216, 13.507010070836445 52.53472500956373, 13.507553056718363 52.53477402554059, 13.508576897087025 52.53483907952642, 13.509413003415679 52.534888004219994, 13.511206964589428 52.53500894566984, 13.512999945594286 52.53513299437421, 13.514129987312382 52.535205987799195, 13.514303017876358 52.53520798020861))"
73,Baustelle,keine Sperrung,22.01.2024 13:00,07.03.2024 17:00,Einseitig,baustelle,"Ampelanlagenneubau, Fahrbahn jeweils auf einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.418634011878208 52.54004156371751), LINESTRING(13.418022033057662 52.540150019602464, 13.418572979442768 52.54006297687588), LINESTRING(13.421660002587199 52.53958801089265, 13.42014902695829 52.53982103812072, 13.41888698898855 52.540016013330046, 13.418572979442768 52.54006297687588))"
74,Sperrung,Vollsperrung,22.01.2024 10:00,05.04.2024 17:00,Beidseitig,sperrung,"Leitungsbauarbeiten, Vollsperrung für Kfz-Verkehr (BVG frei)","GEOMETRYCOLLECTION(POINT(13.377553922690607 52.59950414643714), LINESTRING(13.375510004777137 52.59721499763917, 13.376690013711855 52.59847004770088, 13.376929095354361 52.59875699045136, 13.377218934319014 52.599104957770564, 13.377516084763304 52.59947496251065, 13.377850006573452 52.59987298257379, 13.378493913358959 52.60050199915854), LINESTRING(13.378493913358959 52.60050199915854, 13.377850006573452 52.59987298257379, 13.377516084763304 52.59947496251065, 13.377218934319014 52.599104957770564, 13.376929095354361 52.59875699045136, 13.376690013711855 52.59847004770088, 13.375510004777137 52.59721499763917))"
75,Baustelle,keine Sperrung,22.01.2024 09:00,28.02.2024 17:00,Einseitig,baustelle,"Bau einer Fußgänger-LZA, Gegenverkehrsregelung mit Baustellenampel","GEOMETRYCOLLECTION(POINT(13.40974658213842 52.56266181013365), LINESTRING(13.409990030490645 52.56237597508317, 13.409854965358614 52.562536987838506, 13.409720106981805 52.56268002122265), LINESTRING(13.408350032839286 52.56369602231073, 13.409193015227036 52.5631799415585, 13.409264972834475 52.5631239955052, 13.409720106981805 52.56268002122265))"
76,Baustelle,keine Sperrung,19.01.2024 06:55,20.02.2024 17:00,Einseitig,baustelle,"Wasserrohrbruch, Fahrbahn auf einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.441697326348608 52.54333810692513), LINESTRING(13.43890609185995 52.541228961274626, 13.43943703790922 52.54168002843058, 13.44130394445556 52.54326204899341, 13.441425035189923 52.543373963064944, 13.442144076478403 52.543986994510824, 13.442441869219088 52.54426900498093, 13.442550108403358 52.54436501450313, 13.442659976956016 52.54446500139537, 13.442725973811845 52.54451702846182, 13.442797975251095 52.544566077554684, 13.442940052683719 52.54465192253401, 13.443060903883277 52.54472499065304, 13.443310057380149 52.54486897676399, 13.443454042418509 52.54495098007689, 13.443590899216186 52.545026056327195, 13.443838883728418 52.54514898702343, 13.44415912086626 52.54528896083298, 13.44430894195388 52.5453519789132, 13.444599062902666 52.545472045236274))"
77,Baustelle,keine Sperrung,16.01.2024 12:00,16.02.2024 17:00,Beidseitig,baustelle,"Schachtarbeiten, einen Baustellenampel regelt den Verkehr","GEOMETRYCOLLECTION(POINT(13.582755048049304 52.451693204049086), LINESTRING(13.580555975195077 52.45207403983902, 13.582038007686231 52.45175501709425, 13.582235055588978 52.451723034055966, 13.582380001488238 52.45170499151477, 13.582546046660635 52.45169897986513, 13.583560038937664 52.45169305726214, 13.584026038724167 52.451695041379764, 13.584425047727798 52.45169801999425, 13.584916999000136 52.451703008526856, 13.585191980508993 52.451705039853564), LINESTRING(13.585191980508993 52.451705039853564, 13.584916999000136 52.451703008526856, 13.584425047727798 52.45169801999425, 13.584026038724167 52.451695041379764, 13.583560038937664 52.45169305726214, 13.582546046660635 52.45169897986513, 13.582380001488238 52.45170499151477, 13.582235055588978 52.451723034055966, 13.582038007686231 52.45175501709425, 13.580555975195077 52.45207403983902))"
78,Baustelle,keine Sperrung,16.01.2024 08:00,15.03.2024 17:00,Beidseitig,baustelle,"Leitungsbauarbeiten, Gegenverkehrsregelung mit Baustellenampel","GEOMETRYCOLLECTION(POINT(13.347581360654022 52.61517733438698), LINESTRING(13.346830926232187 52.61484407549439, 13.34773006345931 52.61524404465938, 13.348234015750363 52.615472971880635, 13.34909601874965 52.61583195311691), LINESTRING(13.34909601874965 52.61583195311691, 13.348234015750363 52.615472971880635, 13.34773006345931 52.61524404465938, 13.346830926232187 52.61484407549439))"
79,Baustelle,keine Sperrung,15.01.2024 07:00,27.04.2024 17:00,Einseitig,baustelle,"Leitungsbauarbeiten, Fahrbahn auf einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.377707059972545 52.46514603852608), LINESTRING(13.377433983183636 52.464252964446146, 13.377478040962028 52.4644719644887, 13.377482127689138 52.46457299142786, 13.377524013590302 52.46478701649807, 13.377557910668004 52.464862018337705, 13.3777069793349 52.46549605269811, 13.377794990082563 52.465889005236285))"
80,Baustelle,keine Sperrung,12.01.2024 09:00,31.01.2025 17:00,Beidseitig,baustelle,"Kreuzungsbereich Schloßstraße, Neubau Aufzug, Fahrbahn jeweils auf einen Fahrstreifen je Richtung verengt","GEOMETRYCOLLECTION(POINT(13.320803338323788 52.456838438932984), LINESTRING(13.31781201175187 52.457933028474855, 13.318034977353976 52.45784098255597, 13.318267938197614 52.45775699066444, 13.318403999804099 52.45773995397555, 13.319664042514892 52.457272966737534, 13.320473882629521 52.456962944082136, 13.320687012593366 52.456869944305154, 13.320899023756345 52.456814062122966, 13.321258975798415 52.45671505381214, 13.321560996090877 52.45665703149437, 13.321876039525145 52.45660099146582, 13.322707990933653 52.456482960814185), LINESTRING(13.322707990933653 52.456482960814185, 13.321876039525145 52.45660099146582, 13.321560996090877 52.45665703149437, 13.321258975798415 52.45671505381214, 13.320899023756345 52.456814062122966, 13.320687012593366 52.456869944305154, 13.320473882629521 52.456962944082136, 13.319664042514892 52.457272966737534, 13.318403999804099 52.45773995397555, 13.318267938197614 52.45775699066444, 13.318034977353976 52.45784098255597, 13.31781201175187 52.457933028474855))"
81,Sperrung,Vollsperrung,12.01.2024 07:00,31.03.2025 17:00,Beidseitig,sperrung,"Fahrstuhleinbau U-Bf Weinmeisterstraße, Vollsperrrung für Kfz- und Radverkehr, Umleitungen ausgewiesen","GEOMETRYCOLLECTION(POINT(13.404099222880669 52.52592551298855), LINESTRING(13.403667957809292 52.526067015671025, 13.403979030969149 52.52593203000223, 13.405119039416133 52.52543401066488, 13.4061000373615 52.52499102190322, 13.406212994949945 52.52494102456263, 13.40636699756898 52.524934017657955), LINESTRING(13.40636699756898 52.524934017657955, 13.406212994949945 52.52494102456263, 13.4061000373615 52.52499102190322, 13.405119039416133 52.52543401066488, 13.403979030969149 52.52593203000223, 13.403667957809292 52.526067015671025))"
82,Sperrung,Fahrtrichtungssperrung,12.01.2024 06:00,08.03.2024 17:00,Einseitig,sperrung,"Leitungsbauarbeiten, Fahrtrichtung für Kfz-Verkehr gesperrt","GEOMETRYCOLLECTION(POINT(13.450954059133057 52.48903600501707), LINESTRING(13.452725947618797 52.48800298096983, 13.451821067172343 52.4885049808374, 13.451220045946418 52.488847045502006, 13.451118028394822 52.48890001579284, 13.450974957028132 52.488976994013676, 13.450707995710161 52.489108993245026, 13.450523999757372 52.48922301756135))"
83,Baustelle,keine Sperrung,11.01.2024 09:00,16.02.2024 17:00,Beidseitig,baustelle,"Leitungsbauarbeiten, Gegenverkehrsregelung mit Baustellenampel","GEOMETRYCOLLECTION(POINT(13.524565193964605 52.436423792245776), LINESTRING(13.523431051065593 52.43573394272764, 13.524311957184231 52.43623998747872, 13.524364945867214 52.4362699596168, 13.524827973369685 52.43654106319817, 13.525155010046975 52.43672595288612, 13.525749987885286 52.43707701059626), LINESTRING(13.525749987885286 52.43707701059626, 13.525155010046975 52.43672595288612, 13.524827973369685 52.43654106319817, 13.524364945867214 52.4362699596168, 13.524311957184231 52.43623998747872, 13.523431051065593 52.43573394272764))"
84,Baustelle,keine Sperrung,11.01.2024 08:00,29.02.2024 17:00,Einseitig,baustelle,"Schachtdeckelaustausch, Fahrbahn  auf einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.341173968338355 52.50485911953784), LINESTRING(13.339346919778816 52.50310201803229, 13.339483043337445 52.50325102409192, 13.339560030689857 52.50333500313756, 13.339949994157012 52.50373500772575, 13.340095991702148 52.50388406167621, 13.34048991201829 52.50423403914735, 13.340975919907946 52.504682051469516, 13.341098960200704 52.50480704554022, 13.341132060792814 52.50487494334694, 13.341167986770397 52.50494998377287, 13.341206994770848 52.5050840493955))"
85,Baustelle,keine Sperrung,10.01.2024 10:00,19.02.2024 17:00,Einseitig,baustelle,"Leitungsbauarbeiten, Gegenverkehrsregelung mit Baustellenampel","GEOMETRYCOLLECTION(POINT(13.563573959976015 52.49778938357696), LINESTRING(13.563387981278154 52.49816395961607, 13.563600981650307 52.49780304272751), LINESTRING(13.563440019324808 52.49643204009137, 13.563749076292405 52.497177993330716, 13.563815032439543 52.49734197929602, 13.563823973936913 52.49737499462404, 13.563820900562217 52.497415056842705, 13.563803018940403 52.49747103305767, 13.563600981650307 52.49780304272751))"
86,Baustelle,keine Sperrung,09.01.2024 13:00,16.02.2024 17:00,Einseitig,baustelle,"Wasserrohrbruch, für beide Richtungen nur ein gemeinsamer Fahrststreifen wechselseitig frei","GEOMETRYCOLLECTION(POINT(13.325521918738158 52.446664072406044), LINESTRING(13.325381987549564 52.44653400443404, 13.32551305213269 52.44667099914913), LINESTRING(13.326348970645698 52.44752603382108, 13.326241052866242 52.447411036651744, 13.32551305213269 52.44667099914913))"
87,Baustelle,keine Sperrung,08.01.2024 12:00,30.03.2024 17:00,Einseitig,baustelle,"Leitungsbauarbeiten, eine Baustellenampel regelt den Verkehr","GEOMETRYCOLLECTION(POINT(13.313470315088706 52.50327318625807), LINESTRING(13.31361399925034 52.50442008633334, 13.313466015165412 52.50341303127106, 13.313442072205067 52.50326100851789), LINESTRING(13.31325706084361 52.50208600905124, 13.313302885781942 52.502413042769014, 13.313412040090789 52.50309100647311, 13.313442072205067 52.50326100851789))"
88,Sperrung,,08.01.2024 08:50,29.02.2024 23:59,,sperrung,"blockiert, Verkehrsbehinderung durch geplatzte Wasserleitung",POINT(13.311239999998485 52.508870038704686)
89,Baustelle,keine Sperrung,08.01.2024 07:00,30.04.2024 17:00,Einseitig,baustelle,"Bau einer Schilderbrücke, Fahrbahn auf zwei Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.472684627652072 52.532234956781814), LINESTRING(13.471646020950294 52.5320299986261, 13.472073043004592 52.53212605162135, 13.474518021687937 52.53267205584738, 13.475225015890064 52.53284102623166, 13.475868060535898 52.532975003130204, 13.476205995818697 52.53301298094733))"
90,Sperrung,Vollsperrung,08.01.2024 07:00,31.05.2024 17:00,Beidseitig,sperrung,"Leitungsbaustelle, Vollsperrung für Kfz-Verkehr",POINT(13.292115559683948 52.64199862229057)
91,Störung,,05.01.2024 11:11,31.12.2024 23:59,,warnung,vorübergehende Beschränkung des zulässigen Gesamtgewichts,"GEOMETRYCOLLECTION(POINT(13.552767999999052 52.46902653874693), LINESTRING(13.552767999999052 52.46902653874693, 13.552979999999048 52.46920003874676, 13.553129999999046 52.46935003874659, 13.553209999999046 52.46948003874645, 13.553289999999048 52.469680038746255))"
92,Baustelle,keine Sperrung,04.01.2024 12:00,07.06.2024 17:00,Beidseitig,baustelle,"Tiefbauarbeiten, eine Baustellenampel regelt den Verkehr","GEOMETRYCOLLECTION(POINT(13.292778271635292 52.432705511422085), LINESTRING(13.28706288403835 52.43272102768395, 13.287241948964887 52.432738997078815, 13.287628970173701 52.432781018040224, 13.288073982379496 52.432826035362005, 13.28827394550273 52.4328399899543, 13.288442981038797 52.43285106882464, 13.288644989917962 52.432853993078204, 13.28892796322278 52.43284406232019, 13.289431064787436 52.432824997876494, 13.290579063394405 52.43279098083156, 13.29149701770258 52.43276001236125, 13.292133980781434 52.43274098258872, 13.292807061122875 52.43271995334948, 13.2929789777411 52.432705981557724, 13.293357040266587 52.43268302699397, 13.29380111888149 52.432660934032945, 13.294767028340976 52.43260698508608, 13.295015954464946 52.432591063991495), LINESTRING(13.295015954464946 52.432591063991495, 13.294767028340976 52.43260698508608, 13.29380111888149 52.432660934032945, 13.293357040266587 52.43268302699397, 13.2929789777411 52.432705981557724, 13.292807061122875 52.43271995334948, 13.292133980781434 52.43274098258872, 13.29149701770258 52.43276001236125, 13.290579063394405 52.43279098083156, 13.289431064787436 52.432824997876494, 13.28892796322278 52.43284406232019, 13.288644989917962 52.432853993078204, 13.288442981038797 52.43285106882464, 13.28827394550273 52.4328399899543, 13.288073982379496 52.432826035362005, 13.287628970173701 52.432781018040224, 13.287241948964887 52.432738997078815, 13.28706288403835 52.43272102768395))"
93,Baustelle,keine Sperrung,03.01.2024 07:00,01.03.2024 17:00,Einseitig,baustelle,"Gasleitungsarbeiten, Fahrbahn auf einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.451887597528417 52.45318575300805), LINESTRING(13.452179067546183 52.45253194438006, 13.452135948205271 52.45266202077574, 13.452118939571266 52.45271898158521, 13.45182500625448 52.45321099339703, 13.451701075141296 52.453416975515445, 13.451585063677111 52.45356497865694, 13.451480031595198 52.45372301567098, 13.451451038086415 52.45376498412143))"
94,Baustelle,keine Sperrung,02.01.2024 07:00,16.02.2024 07:00,Einseitig,baustelle,"Bau von Radverkehrsanlagen, Fahrbahn auf einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.518694354565069 52.4506306044691), LINESTRING(13.524483986124384 52.446783955388284, 13.524483986124384 52.446783955388284, 13.523532022990606 52.447424013498356, 13.522590061682966 52.448058974174636, 13.521738981577213 52.44862897939785, 13.52068391988121 52.44934396996032, 13.520284111086536 52.449606990735916, 13.520052059300346 52.44976898252482, 13.519545947995027 52.45010799335745, 13.51901703115672 52.450451032141174, 13.518490010496262 52.45076801832537, 13.518159030680927 52.45095699889603, 13.517273119301654 52.451474028156824, 13.516531024607307 52.4519280296221, 13.51599292319671 52.45228901178287, 13.5155190099741 52.452614023928405, 13.515263978467566 52.45278003364922, 13.5150839097888 52.452904995963685))"
95,Sperrung,Fahrtrichtungssperrung,01.01.2024 07:10,15.03.2024 17:00,Einseitig,sperrung,"Wasserrohrbruch, Fahrtrichtung gesperrt, Umleitung ausgewiesen","GEOMETRYCOLLECTION(POINT(13.41444823702314 52.55662553305351), LINESTRING(13.414437964134976 52.55616108706387, 13.414328012796929 52.55690299023453, 13.414290982448716 52.55707898752951))"
96,Sperrung,,22.12.2023 15:12,31.08.2024 23:59,,sperrung,"gesperrt, Baustelle","GEOMETRYCOLLECTION(POINT(13.305715799998469 52.50276693871118), LINESTRING(13.305715799998469 52.50276693871118, 13.30571999999847 52.50254003871142, 13.30572999999847 52.502470038711515, 13.305759999998466 52.50243003871152, 13.305889999998469 52.50228003871171, 13.306019999998467 52.50211003871189, 13.306049999998471 52.50208003871192, 13.306069999998469 52.502060038711946, 13.306109999998474 52.50205003871197, 13.30627999999847 52.50204003871196, 13.306858899998476 52.50203623871196))"
97,Baustelle,keine Sperrung,20.12.2023 15:00,,Beidseitig,baustelle,"Leitungsbaustelle, Fahrbahn jeweils auf einen Fahrstreifen verengt und verschwenkt","GEOMETRYCOLLECTION(POINT(13.519149315364324 52.47298832720209), LINESTRING(13.514645899322154 52.468819009719, 13.51469905317982 52.46884503189491, 13.514883911237098 52.468969001616955, 13.515233969111264 52.469249960155096, 13.515440956315134 52.469447033994555, 13.515621980478109 52.469636948453655, 13.515661100083033 52.46968194491707, 13.516097015505478 52.47008499729888, 13.51646306412736 52.47042504381217, 13.517386021135081 52.47128806533695, 13.51765797885805 52.47153701844249, 13.517898989903747 52.47176499371559, 13.518093944107893 52.471965957885956, 13.518628012600615 52.47249898147694, 13.519101026430217 52.472952027385865, 13.519590053172266 52.47342397302816, 13.520041011438751 52.47384598972928, 13.520307062001644 52.47409198545197, 13.520902065252072 52.474636010325995, 13.521523056019811 52.47520903820574, 13.521672953593429 52.47534505745647, 13.521681997035932 52.47535200364175, 13.521885060632357 52.47555800767848, 13.522832048219174 52.47644403241056, 13.523083941037873 52.47667402066594, 13.52313499284263 52.47672806460677), LINESTRING(13.52313499284263 52.47672806460677, 13.523083941037873 52.47667402066594, 13.522832048219174 52.47644403241056, 13.521885060632357 52.47555800767848, 13.521681997035932 52.47535200364175, 13.521672953593429 52.47534505745647, 13.521523056019811 52.47520903820574, 13.520902065252072 52.474636010325995, 13.520307062001644 52.47409198545197, 13.520041011438751 52.47384598972928, 13.519590053172266 52.47342397302816, 13.519101026430217 52.472952027385865, 13.518628012600615 52.47249898147694, 13.518093944107893 52.471965957885956, 13.517898989903747 52.47176499371559, 13.51765797885805 52.47153701844249, 13.517386021135081 52.47128806533695, 13.51646306412736 52.47042504381217, 13.516097015505478 52.47008499729888, 13.515661100083033 52.46968194491707, 13.515621980478109 52.469636948453655, 13.515440956315134 52.469447033994555, 13.515233969111264 52.469249960155096, 13.514883911237098 52.468969001616955, 13.51469905317982 52.46884503189491, 13.514645899322154 52.468819009719))"
98,Störung,,15.12.2023 06:00,28.07.2024 23:59,,warnung,"Fahrbahnverengung, geänderte Verkehrsführung im Baustellenbereich, Bauarbeiten","GEOMETRYCOLLECTION(POINT(13.293682799998434 52.57588533863324), LINESTRING(13.293682799998434 52.57588533863324, 13.294019999998437 52.57600003863312, 13.294649999998441 52.57622003863288, 13.294889999998441 52.57631003863278, 13.295239999998438 52.57644003863265, 13.295509999998437 52.576570038632504, 13.296199999998443 52.57698003863206, 13.296249999998443 52.57701003863205, 13.296349999998442 52.577070038631966, 13.296404799998442 52.57710333863196))"
99,Sperrung,Fahrtrichtungssperrung,14.12.2023 14:30,28.03.2024 17:00,Einseitig,sperrung,"Reparatur einer Wasserleitung, Fahrtrichtung für Kfz-Verkehr gesperrt","GEOMETRYCOLLECTION(POINT(13.296558230324704 52.510919512854485), LINESTRING(13.289213025547438 52.510456036268806, 13.291564930279476 52.51060106195945), LINESTRING(13.292144974443344 52.51063101510668, 13.292817012181361 52.51067901647255, 13.29462597947692 52.5108029287371, 13.295863985252845 52.510886941876855, 13.29628404028648 52.51091196275398, 13.297356897582874 52.51097200313264, 13.299899922307393 52.51113399884933))"
100,Baustelle,keine Sperrung,14.12.2023 10:00,31.12.2025 17:00,Einseitig,baustelle,"Hochbaustelle, Fahrbahn auf einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.412169496558219 52.515896548979825), LINESTRING(13.414526925466289 52.515763961254045, 13.414040027313265 52.51573001346293, 13.413592976022809 52.51571502957496, 13.413266905372554 52.515720997173844, 13.413027973069086 52.5157300207203, 13.412658959080986 52.515757978247585, 13.412313950272631 52.51581502812441, 13.412071962613219 52.51587606699263, 13.41175903839486 52.515922037269895, 13.411586995174261 52.51594795981018, 13.41137603810035 52.515969943052944, 13.41107611462558 52.51601500714821, 13.410565024432604 52.516095985618875))"
101,Baustelle,keine Sperrung,13.12.2023 13:00,09.04.2024 17:00,Beidseitig,baustelle,"Wasserrohrbruch, Fahrbahn auf jeweils einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.44993035212189 52.50188088238275), LINESTRING(13.446771932833146 52.50271100901214, 13.447376025263232 52.50255997651458, 13.447584006472821 52.502503005181886, 13.449269980521256 52.50204598295312, 13.450430968387723 52.50174003461098, 13.450725036160948 52.501648041292476, 13.451917983824309 52.50134600345739, 13.453291988763734 52.5009640528277, 13.454535002997702 52.5006070786822, 13.455105014292755 52.50043901825032, 13.455421000810393 52.500339027797374), LINESTRING(13.455421000810393 52.500339027797374, 13.455105014292755 52.50043901825032, 13.454535002997702 52.5006070786822, 13.453291988763734 52.5009640528277, 13.451917983824309 52.50134600345739, 13.450725036160948 52.501648041292476, 13.450430968387723 52.50174003461098, 13.449269980521256 52.50204598295312, 13.447584006472821 52.502503005181886, 13.447376025263232 52.50255997651458, 13.446771932833146 52.50271100901214))"
