Baustellen_ID,Baustellenart,Baustellentyp,Beginn,Ende,Seite Sperrung,Icon,Beschreibung,Koordinaten
237,Bauarbeiten,keine Sperrung,22.02.2023 07:00,31.12.2024 17:00,Einseitig,baustelle,"Neubau, Fahrbahn auf einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.437493995957164 52.482981036383855), LINESTRING(13.437493995957164 52.482981036383855, 13.438015033187261 52.48271503842855))"
238,Baustelle,keine Sperrung,14.02.2023 08:00,31.05.2024 17:00,Einseitig,baustelle,"Baustelle, Fahrbahn auf einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.385641413433932 52.46457403920792), LINESTRING(13.385594011440025 52.46427706071846, 13.38559694454972 52.464558973745156, 13.385594000877292 52.46475206375609, 13.385603033444527 52.4648069432394))"
239,Baustelle,keine Sperrung,10.02.2023 11:00,27.03.2024 17:00,Beidseitig,baustelle,"Leitungsbau, Fahrbahn auf jeweils einen Fahrstreifen verengt und verschwenkt, im Anschluss folgen weitere Arbeiten","GEOMETRYCOLLECTION(POINT(13.315159076988081 52.41691796119863), LINESTRING(13.314663024027663 52.417440992845236, 13.314910030240533 52.41720300748713, 13.315576089371406 52.41656098971489, 13.316657001450045 52.41551999777264, 13.317160014980898 52.415041988543074, 13.317816008089293 52.41439999483209), LINESTRING(13.317816008089293 52.41439999483209, 13.317160014980898 52.415041988543074, 13.316657001450045 52.41551999777264, 13.315576089371406 52.41656098971489, 13.314910030240533 52.41720300748713, 13.314663024027663 52.417440992845236))"
240,Baustelle,keine Sperrung,08.02.2023 07:00,11.04.2024 17:00,Beidseitig,baustelle,"Brückenarbeiten, ein Fahrstreifen je Richtung gesperrt, Fahrstreifen verschwenkt. Vom Dohnagestell ist für den Kfz-Verkehr nur das Rechtsabbiegen auf die Seestraße (Richtung A100) möglich.","GEOMETRYCOLLECTION(POINT(13.335505190912759 52.54177086239138), LINESTRING(13.329443977705205 52.53915701153479, 13.330169955793536 52.53939698007896, 13.33044702846282 52.539502039205665, 13.330820001773962 52.53963299604403, 13.331200999800654 52.5397740449893, 13.33167599084714 52.53996802673863, 13.331970016624586 52.5400889657753, 13.332467985751313 52.54031105070554, 13.332853049720221 52.540492971216665, 13.333274869229362 52.540709034862786, 13.333776988256812 52.54096596824695, 13.334126953317215 52.54115602184982, 13.334300032976902 52.54123901833369, 13.334531962931878 52.541349006874555, 13.335633930769479 52.541860998174734, 13.335706045981436 52.541895998705236), LINESTRING(13.335706045981436 52.541895998705236, 13.335633930769479 52.541860998174734, 13.334531962931878 52.541349006874555, 13.334300032976902 52.54123901833369, 13.334126953317215 52.54115602184982, 13.333776988256812 52.54096596824695, 13.333274869229362 52.540709034862786, 13.332853049720221 52.540492971216665, 13.332467985751313 52.54031105070554, 13.331970016624586 52.5400889657753, 13.33167599084714 52.53996802673863, 13.331200999800654 52.5397740449893, 13.330820001773962 52.53963299604403, 13.33044702846282 52.539502039205665, 13.330169955793536 52.53939698007896, 13.329443977705205 52.53915701153479))"
241,Baustelle,keine Sperrung,01.02.2023 09:00,17.01.2025 17:00,Einseitig,baustelle,"Hochbaustelle, Fahrbahn auf einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.331307826409098 52.484215625882676), LINESTRING(13.3309879448252 52.48395292635034, 13.331218979932244 52.484094021085866, 13.331263915763635 52.48429201184622, 13.331278029126322 52.48445998671842, 13.331261046267725 52.48518102105027, 13.331237029702104 52.486010030257226, 13.331224041226404 52.48610803088713))"
242,Baustelle,keine Sperrung,01.02.2023 07:00,31.03.2024 17:00,Einseitig,baustelle,"Hochbauarbeiten, Fahrbahn auf einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.416225329413791 52.54049752592765), LINESTRING(13.416310905290818 52.54041601685206, 13.415077913802202 52.540606035564075, 13.414304091358764 52.54072298336229))"
243,Baustelle,keine Sperrung,30.01.2023 07:00,29.02.2024 17:00,Einseitig,baustelle,"Leitungsbauarbeiten, Fahrstreifenreduzierungen, Einmündung Moltkestraße nur Rechtsabbiegen möglich. Im Anschluss folgen weitere Arbeiten.","GEOMETRYCOLLECTION(POINT(13.316252678355518 52.44039002561199), LINESTRING(13.315681053924191 52.43784200845826, 13.315940041121879 52.43826496104944, 13.31609706257091 52.4386959916318, 13.316141059631544 52.43882699179169, 13.316219001379663 52.43912499384127, 13.316339957933488 52.439410031515614, 13.316407003732593 52.43960798513654, 13.316444001258441 52.439802993303836, 13.316445942282785 52.43991801939425, 13.316439956775167 52.440075011800644, 13.3163970205802 52.44032903342878, 13.316274014308435 52.44038707385986, 13.316197942119143 52.44033707800092, 13.316281937169707 52.44007896566536, 13.316308002321383 52.43989699370566, 13.316308914962232 52.43976501472965, 13.316286055078479 52.43961597344937, 13.316159020623926 52.439254962772814, 13.316072952470515 52.43906204293015, 13.31599809778094 52.438957037622004, 13.315863990202612 52.43882403462059, 13.315554049964245 52.43857199958523, 13.315426105888703 52.4384510422775, 13.31525705448177 52.438269976803674, 13.315098058636398 52.43804904316371))"
244,Baustelle,keine Sperrung,30.01.2023 06:00,30.04.2024 17:00,Einseitig,baustelle,"Fassadenarbeiten, Fahrbahn auf einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.529783591736487 52.42963700072802), LINESTRING(13.531377937165422 52.430300991411535, 13.53110201255336 52.4301809497816, 13.530846978576326 52.430051996205194, 13.529940093294796 52.429642959638294, 13.529447891924354 52.42943202254354, 13.529251932456376 52.42935801627955, 13.528934001912774 52.42926298158335, 13.528543003155017 52.429166946775126, 13.52825905930098 52.42910703870737, 13.527690058681829 52.4290030309193, 13.526953000122312 52.428883979559856, 13.52678303653026 52.42885102254652))"
245,Baustelle,keine Sperrung,24.01.2023 09:00,30.06.2024 17:00,Beidseitig,baustelle,"Hochbaustelle, Fußgängerbedarfsampel, Staugefahr",POINT(13.471923846770462 52.508016698319494)
246,Sperrung,Fahrtrichtungssperrung,15.01.2023 18:00,30.08.2024 17:00,Beidseitig,sperrung,"Umbauarbeiten, Fahrtrichtung für den Kfz-Verkehr gesperrt, eine Umleitung ist ausgewiesen. Im Anschluss folgen weitere Arbeiten.","GEOMETRYCOLLECTION(POINT(13.409117978436367 52.51692997083461), LINESTRING(13.409117978436367 52.51692997083461, 13.4093599066238 52.516728047206016, 13.409719962400931 52.51647502312532, 13.4099718906699 52.516298047992805, 13.410063929412408 52.51624704666683, 13.41021602217181 52.516190018940314, 13.410354897703572 52.51614800835078, 13.410565024432604 52.516095985618875), LINESTRING(13.410565024432604 52.516095985618875, 13.410354897703572 52.51614800835078, 13.41021602217181 52.516190018940314, 13.410063929412408 52.51624704666683, 13.4099718906699 52.516298047992805, 13.409719962400931 52.51647502312532, 13.4093599066238 52.516728047206016, 13.409117978436367 52.51692997083461))"
