Gefahrenbereich_ID,Unfall_ID_FK,Baustelle_ID_FK
270,18374,30
271,29134,30
272,39816,30
273,46878,30
274,9465,31
275,15550,31
276,17541,31
277,37763,31
278,44086,31
279,48502,31
280,13968,32
281,28545,32
282,2555,33
283,7172,33
284,12427,33
285,20890,33
286,42202,33
287,8195,35
288,9734,35
289,28162,37
290,8223,38
291,9799,38
292,15923,38
293,31071,38
294,2598,39
295,4296,39
296,7310,39
297,9000,39
298,9887,39
299,10066,39
300,19567,39
301,19973,39
302,20214,39
303,20300,39
304,20355,39
305,21200,39
306,21923,39
307,24231,39
308,24921,39
309,25313,39
310,26066,39
311,31804,39
312,34552,39
313,35767,39
314,37154,39
315,38605,39
316,38876,39
317,42611,39
318,42953,39
319,44747,39
320,45641,39
321,46897,39
322,291,40
323,313,40
324,576,40
325,628,40
326,1402,40
327,1439,40
328,13889,40
329,13919,40
330,14488,40
331,14924,40
332,15206,40
333,27092,40
334,27743,40
335,27851,40
336,28044,40
337,28488,40
338,49925,40
339,2383,41
340,4481,41
341,8342,41
342,8991,41
343,12375,41
344,12926,41
345,19824,41
346,26527,41
347,1402,42
348,14488,42
349,28365,44
350,48986,44
351,2559,45
352,2780,45
353,3481,45
354,3971,45
355,8614,45
356,9229,45
357,9686,45
358,11314,45
359,11338,45
360,12357,45
361,15978,45
362,18312,45
363,20512,45
364,26202,45
365,34633,45
366,37002,45
367,39189,45
368,41893,45
369,43751,45
370,45232,45
371,46965,45
372,48469,45
373,4977,46
374,6492,46
375,6722,46
376,11348,46
377,19563,46
378,33445,46
379,38414,46
380,46425,46
381,4405,48
382,4446,48
383,16122,48
384,34400,48
385,44795,48
386,5364,49
387,8059,49
388,30901,49
389,33615,49
390,40619,49
391,41121,49
392,45611,49
393,2016,52
394,5319,52
395,6853,52
396,8812,52
397,10989,52
398,13195,52
399,13221,52
400,17019,52
401,19836,52
402,21418,52
403,23342,52
404,23418,52
405,23567,52
406,25384,52
407,30493,52
408,38930,52
409,47781,52
410,7048,53
411,8983,53
412,11290,53
413,45623,53
414,2773,54
415,2903,54
