,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNWD,TMAX,TMIN
5248,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-16,0.0,0.0,25.3,11.8
5249,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-17,0.0,0.0,32.7,12.1
5250,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-18,10.3,0.0,32.6,15.2
5251,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-19,0.0,0.0,27.8,16.0
5252,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-20,14.7,0.0,24.0,10.8
5253,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-21,0.0,0.0,20.6,11.5
5254,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-22,0.0,0.0,19.1,6.8
5255,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-23,4.8,0.0,16.9,7.8
5256,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-24,2.6,0.0,12.7,8.6
5257,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-25,0.0,0.0,14.6,9.8
5258,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-26,2.7,0.0,15.1,8.0
5259,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-27,1.4,0.0,22.1,9.1
5260,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-28,5.9,0.0,22.4,14.8
5261,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-29,1.8,0.0,20.4,13.8
